1,Adams,Adams,-90.02767349,-89.59794989,44.24944943,43.64102574
3,Ashland,Ashland,-90.92762042,-90.30241029,47.0770275,45.98099156
5,Barron,Barron,-92.15640499,-91.54040877,45.63987843,45.20648875
7,Bayfield,Bayfield,-91.55236007,-90.75115227,47.00350792,46.15467111
9,Brown,Brown,-88.25266384,-87.76244495,44.67985322,44.24041177
11,Buffalo,Buffalo,-92.08360668,-91.52894258,44.59672835,44.02538618
13,Burnett,Burnett,-92.88691559,-92.03124976,46.15766252,45.63972051
15,Calumet,Calumet,-88.40411516,-88.04178526,44.24411173,43.89153869
17,Chippewa,Chippewa,-91.66656472,-90.92226742,45.29213957,44.85607205
19,Clark,Clark,-90.92311282,-90.31500215,45.03379621,44.42243672
21,Columbia,Columbia,-89.7855053,-89.00449365,43.64371717,43.28132839
23,Crawford,Crawford,-91.21449096,-90.6666691,43.42302299,42.98818272
25,Dane,Dane,-89.83818442,-89.00893686,43.29413283,42.84514307
27,Dodge,Dodge,-89.00917026,-88.40039301,43.63352661,43.19472013
29,Door,Door,-87.73657466,-86.83861175,45.42044298,44.67544035
31,Douglas,Douglas,-92.293242,-91.55131992,46.75733937,46.15694485
33,Dunn,Dunn,-92.15715528,-91.65035043,45.20947776,44.68358833
35,Eau Claire,Eau_Claire,-91.65049997,-90.92226742,44.85773643,44.59620437
37,Florence,Florence,-88.68421041,-88.0582398,46.02096641,45.71309618
39,Fond du Lac,Fond_du_Lac,-88.88606287,-88.16089818,43.93779642,43.54291772
41,Forest,Forest,-89.04767758,-88.42538094,46.07352457,45.37692853
43,Grant,Grant,-91.15680917,-90.42680819,43.21129186,42.50717199
45,Green,Green,-89.83849449,-89.36581119,42.85739983,42.50006992
47,Green Lake,Green_Lake,-89.24530749,-88.88570419,43.98330685,43.63182202
49,Iowa,Iowa,-90.4292259,-89.83804955,43.2097029,42.81303906
51,Iron,Iron,-90.55235983,-89.92841746,46.58972647,45.98154844
53,Jackson,Jackson,-91.16599903,-90.3125779,44.59692293,44.07090106
55,Jefferson,Jefferson,-89.01355774,-88.53594688,43.19774964,42.84279474
57,Juneau,Juneau,-90.312696,-89.78545935,44.24944943,43.64102574
59,Kenosha,Kenosha,-88.30596091,-87.80280101,42.66945083,42.49293713
61,Kewaunee,Kewaunee,-87.76610002,-87.37507313,44.67698091,44.32709768
63,La Crosse,La_Crosse,-91.42536178,-90.91057607,44.09069902,43.72541234
65,Lafayette,Lafayette,-90.42692031,-89.83770683,42.81388376,42.50566507
67,Langlade,Langlade,-89.42597147,-88.6383025,45.46997035,45.02882521
69,Lincoln,Lincoln,-90.04690386,-89.42521643,45.55539053,45.11914795
71,Manitowoc,Manitowoc,-88.04324925,-87.50734108,44.32761825,43.89177552
73,Marathon,Marathon,-90.31628738,-89.22383037,45.12062236,44.68137052
75,Marinette,Marinette,-88.42809747,-87.57793358,45.79511131,44.96566772
77,Marquette,Marquette,-89.59968638,-89.16751241,43.98296543,43.64261292
78,Menominee,Menominee,-88.98227677,-88.48360705,45.11811928,44.85548348
79,Milwaukee,Milwaukee,-88.06998441,-87.82550525,43.19212357,42.84201173
81,Monroe,Monroe,-90.97694733,-90.31211127,44.16105607,43.72541234
83,Oconto,Oconto,-88.68014388,-87.76033665,45.37860117,44.672328
85,Oneida,Oneida,-90.0434914,-89.04661335,45.90148407,45.46475241
87,Outagamie,Outagamie,-88.73984151,-88.1904466,44.59066029,44.24198233
89,Ozaukee,Ozaukee,-88.0633763,-87.79100754,43.54304014,43.19205616
91,Pepin,Pepin,-92.31624154,-91.65035043,44.68439733,44.40740806
93,Pierce,Pierce,-92.80788683,-92.13528033,44.86220432,44.53952096
95,Polk,Polk,-92.88691559,-92.15436318,45.72875321,45.20947776
97,Portage,Portage,-89.84499573,-89.22383037,44.68583261,44.2433797
99,Price,Price,-90.67879544,-90.04207208,45.98186255,45.37699131
101,Racine,Racine,-88.30631711,-87.75834589,42.84335293,42.61076267
103,Richland,Richland,-90.67167055,-90.19191211,43.55502184,43.16403047
105,Rock,Rock,-89.36911524,-88.77650978,42.84746638,42.49197419
107,Rusk,Rusk,-91.54100657,-90.67878483,45.6383456,45.2921121
111,Sauk,Sauk,-90.31263867,-89.59965555,43.64104991,43.14596944
113,Sawyer,Sawyer,-91.55186024,-90.6771489,46.15694485,45.63762839
115,Shawano,Shawano,-89.2238471,-88.24272145,45.02935994,44.58474341
117,Sheboygan,Sheboygan,-88.16223568,-87.69638624,43.89248529,43.54246098
109,St. Croix,St_Croix,-92.80268306,-92.13612147,45.20957473,44.85779325
119,Taylor,Taylor,-90.92543297,-90.04207208,45.38170228,45.03095517
121,Trempealeau,Trempealeau,-91.6121372,-91.15199494,44.59692293,43.98430738
123,Vernon,Vernon,-91.27259427,-90.31105358,43.73150452,43.4228399
125,Vilas,Vilas,-90.04425812,-88.93265703,46.29989407,45.85672525
127,Walworth,Walworth,-88.77707524,-88.30465382,42.84303702,42.49197419
129,Washburn,Washburn,-92.05062468,-91.54040877,46.15764528,45.63762839
131,Washington,Washington,-88.41850868,-88.03995323,43.5435398,43.19212357
133,Waukesha,Waukesha,-88.54158136,-88.0633763,43.19611127,42.84225938
135,Waupaca,Waupaca,-89.22479457,-88.60512209,44.68137052,44.2426803
137,Waushara,Waushara,-89.59804023,-88.88612126,44.24567862,43.9822606
139,Winnebago,Winnebago,-88.88672457,-88.40287565,44.24411173,43.89287659
141,Wood,Wood,-90.31800059,-89.72490896,44.6851059,44.24763913
